['1', '911106', 'I', '49/55', '15/20', '21/30', '20/45', '2', '911107', 'I', '43/55', '19/20', '22/30', '37/45', '3', '911108', 'I', '33/50', '20/25', '20/25', '4', '911109', 'I', '24/50', '19/25', '15/25', '5', '911110', 'I', '36/55', '10/20', '14/30', '23/45', '6', '911111', 'I', '30/50', '20/25', '22/25', '7', '911112', 'I', '41/75', '14/25']
['1', '911106', 'I', '38/55', '16/20', '26/30', '34/45', '2', '911107', 'I', '48/55', '20/20', '22/30', '33/45', '3', '911108', 'I', '40/50', '19/25', '21/25', '4', '911109', 'I', '23/50', '10/25', '10/25', '5', '911110', 'I', '43/55', '14/20', '14/30', '23/45', '6', '911111', 'I', '45/50', '20/25', '20/25', '7', '911112', 'I', '57/75', '14/25']
['1', '911106', 'I', '25/55', '8/20', '22/30', '30/45', '2', '911107', 'I', '22/55', '19/20', '23/30', '34/45', '3', '911108', 'I', '20/50', '11/25', '10/25', '4', '911109', 'I', '22/50', '19/25', '20/25', '5', '911110', 'I', '29/55', '14/20', '14/30', '22/45', '6', '911111', 'I', '29/50', '21/25', '22/25', '7', '911112', 'I', '60/75', '16/25']
['1', '911106', 'I', '32/55', '18/20', '23/30', '35/45', '2', '911107', 'I', '10/55', '20/20', '24/30', '44/45', '3', '911108', 'I', '12/50', '13/25', '18/25', '4', '911109', 'I', '22/50', '11/25', '17/25', '5', '911110', 'I', '22/55', '18/20', '18/30', '28/45', '6', '911111', 'I', '38/50', '22/25', '22/25', '7', '911112', 'I', '42/75', '16/25']
['1', '911106', 'I', '46/55', '18/20', '26/30', '40/45', '2', '911107', 'I', '48/55', '18/20', '28/30', '41/45', '3', '911108', 'I', '31/50', '21/25', '21/25', '4', '911109', 'I', '24/50', '23/25', '24/25', '5', '911110', 'I', '22/55', '15/20', '20/30', '30/45', '6', '911111', 'I', '35/50', '23/25', '23/25', '7', '911112', 'I', '58/75', '19/25']
['1', '911106', 'I', '22/55', '14/20', '20/30', '28/45', '2', '911107', 'I', '8/55', '14/20', '26/30', '39/45', '3', '911108', 'I', '17/50', '20/25', '6/25', '4', '911109', 'I', '20/50', '15/25', '20/25', '5', '911110', 'I', '28/55', '14/20', '12/30', '18/45', '6', '911111', 'I', '20/50', '21/25', '22/25', '7', '911112', 'I', '48/75', '13/25']
['1', '911106', 'I', 'AB/55', '0/20', '0/30', '0/45', '2', '911107', 'I', 'AB/55', '0/20', 'AB/30', '8/45', '3', '911108', 'I', 'AB/50', '0/25', '0/25', '4', '911109', 'I', 'AB/50', '6/25', 'AB/25', '5', '911110', 'I', 'AB/55', '0/20', '0/30', '0/45', '6', '911111', 'I', 'AB/50', '0/25', '0/25', '7', '911112', 'I', 'AB/75', 'AB/25']
['1', '911106', 'I', '22/55', '10/20', '21/30', '22/45', '2', '911107', 'I', '23/55', '15/20', '22/30', '36/45', '3', '911108', 'I', '21/50', '11/25', '10/25', '4', '911109', 'I', '20/50', '12/25', '15/25', '5', '911110', 'I', '26/55', '17/20', '17/30', '22/45', '6', '911111', 'I', '34/50', '20/25', '22/25', '7', '911112', 'I', '52/75', '11/25']
['1', '911106', 'I', '6/55', '12/20', '25/30', '36/45', '2', '911107', 'I', '22/55', '11/20', '24/30', '44/45', '3', '911108', 'I', '24/50', '12/25', '10/25', '4', '911109', 'I', '20/50', '17/25', '20/25', '5', '911110', 'I', '14/55', '18/20', '17/30', '22/45', '6', '911111', 'I', '36/50', '21/25', '22/25', '7', '911112', 'I', '45/75', '18/25']
['1', '911106', 'I', '25/55', '8/20', '20/30', '20/45', '2', '911107', 'I', '23/55', '14/20', '22/30', '40/45', '3', '911108', 'I', '20/50', '16/25', '10/25', '4', '911109', 'I', '8/50', '10/25', '15/25', '5', '911110', 'I', '22/55', '16/20', '18/30', '22/45', '6', '911111', 'I', '32/50', '21/25', '21/25', '7', '911112', 'I', '36/75', '21/25']
